"ID","SCORE","RANK"
100093066,0.392102102712363,8387
100313000,0.736853075540835,1098
100330875,0.518162673731159,5865
100346385,0.356288242860415,9244
100443164,0.624371053206636,3887
100665488,0.302058190213972,10713
100715275,0.794268982993556,260
100934653,0.283152034609443,11225
101261740,0.588420413966934,4609
101289399,0.323677305530979,10130
101322268,0.444099661882976,7266
101481847,0.602196592217864,4354
101510035,0.603501301045882,4325
101560417,0.370228890685106,8892
101606088,0.257794634480229,11762
101613482,0.572112989453778,4881
101632869,0.323960553269784,10125
101700904,0.313911250471845,10384
101777929,0.307938777572307,10555
101843330,0.413904594543676,7904
101904094,0.36706577123991,8982
102248065,0.357189802240084,9224
102320387,0.269038727119878,11549
102406404,0.536188716212057,5541
102457778,0.362007390911823,9106
102728454,0.715453150080798,1532
102745076,0.644796993778106,3371
103080043,0.715878555455892,1527
103095050,0.582933498941611,4697
103154040,0.427525885076214,7628
103221498,0.624345027437223,3889
103311970,0.692169559580828,2117
103575822,0.501862147521919,6149
103583429,0.395650503339719,8298
103630217,0.560524991114266,5099
103647495,0.563483370759882,5051
103653343,0.456770805304854,6991
103711964,0.776501848859057,472
103785908,0.519007084584729,5855
103814787,0.443995688243204,7268
103999673,0.641314725075946,3458
104076560,0.291191516910849,11014
104099043,0.45535318862713,7016
104172598,0.475446912187158,6628
104210458,0.530419739375687,5645
104241098,0.746098046662388,934
104250888,0.372657967874871,8837
104263840,0.479479272527488,6544
104274086,0.441205486905202,7331
104313283,0.272647407810768,11469
104526629,0.271889189647823,11484
104717568,0.764666605090847,649
104722504,0.60377128760725,4321
104727666,0.750525530114836,863
104793076,0.72674769710717,1296
104833127,0.721151698333469,1417
104941800,0.274619669997005,11424
104950346,0.298726288339332,10806
105063188,0.510569817512722,6000
105172820,0.662246479372507,2947
105189533,0.535673061626279,5553
105261240,0.787546639961874,334
105295743,0.669903238475091,2734
105421958,0.636762667308872,3587
105422057,0.528953008684014,5680
105431331,0.311416862678307,10459
105456098,0.336886404650183,9749
105654202,0.566824227257287,4994
105695617,0.446223798516128,7212
105722688,0.281833790722165,11253
105745614,0.261792685024195,11696
105793097,0.516291256840053,5901
105828696,0.518636347330757,5857
105905967,0.528477768745385,5694
105909150,0.690217313010776,2162
106130904,0.632751841492418,3676
106192406,0.650044381786187,3250
106247962,0.278509983584453,11337
106267604,0.62205463129843,3949
106442457,0.766645616913886,618
106506088,0.284741697137528,11188
106623174,0.286262154024109,11138
106627571,0.592965570124407,4524
106761315,0.466229347687943,6810
106859694,0.514911320881491,5925
106883652,0.302860182960447,10689
106979625,0.758431207523875,727
106990262,0.594797261410727,4489
107013182,0.519538594410604,5847
107101461,0.645198483958405,3361
107200075,0.631839573191995,3694
107333156,0.438233512476022,7384
107495445,0.422941341444183,7735
107595849,0.674231757279112,2601
107645870,0.574197138325184,4844
107652186,0.467423268188696,6784
108001538,0.66089337301122,2980
108238798,0.541426940876786,5446
108271987,0.520352804967305,5833
108294436,0.349649183078299,9401
108449609,0.475269581864051,6634
108640788,0.505360253297315,6085
108660300,0.430683810091377,7562
108661622,0.33189770644624,9891
108676621,0.683045291684852,2363
108709980,0.448033691094826,7172
108725704,0.44981578499132,7138
108871809,0.525286926658215,5743
108984029,0.555741682865693,5198
109038593,0.383970544814844,8574
109074813,0.4779306927108,6572
109128138,0.648788371821472,3277
109210457,0.335881037537298,9772
109249641,0.554930307666453,5210
109260008,0.630421921440675,3730
109270030,0.535363439945331,5560
109319866,0.471556107571502,6710
109333922,0.528407749754676,5698
109445366,0.747656453725902,914
109621414,0.384148480219178,8568
109773116,0.517580510016653,5878
109818882,0.766616999954116,619
109948733,0.424007679009373,7712
109998927,0.431715583452488,7540
110221105,0.283399714242831,11221
110258484,0.627866008534429,3802
