"ID","SCORE","RANK"
100093066,0.369467861003649,8579
100313000,0.750121328833341,801
100330875,0.497980739005652,5988
100346385,0.34464109298288,9195
100443164,0.623992588886106,3624
100665488,0.269315254107911,11159
100715275,0.799902885935778,215
100934653,0.26204446489352,11323
101261740,0.562205825457699,4832
101289399,0.304878535329716,10257
101322268,0.393933652356612,8024
101481847,0.610124301196214,3921
101510035,0.587714844445834,4394
101560417,0.371434682524712,8537
101606088,0.236242704153058,11802
101613482,0.570790563875335,4678
101632869,0.312696876851468,10051
101700904,0.306971998387203,10194
101777929,0.288003324482925,10690
101843330,0.389688093971807,8131
101904094,0.342837256901987,9241
102248065,0.345056805588156,9180
102320387,0.273772611507406,11053
102406404,0.518226304250586,5636
102457778,0.343068133015625,9233
102728454,0.711857011220364,1488
102745076,0.638513072379496,3286
103080043,0.70726485461366,1589
103095050,0.575279208416005,4605
103154040,0.423115504561713,7407
103221498,0.615035234719627,3824
103311970,0.690594670681847,1988
103575822,0.462766936529562,6622
103583429,0.356147641131183,8894
103630217,0.544820147088362,5154
103647495,0.539336295211594,5256
103653343,0.44493416069708,6972
103711964,0.772153105913158,493
103785908,0.498003656396925,5986
103814787,0.406778193323833,7762
103999673,0.647078851321021,3108
104076560,0.27468606456389,11028
104099043,0.44369661885864,6990
104172598,0.460036127098144,6677
104210458,0.5105209345471,5773
104241098,0.736445143895068,1030
104250888,0.367201645772292,8636
104263840,0.459024568989714,6700
104274086,0.413950082739628,7603
104313283,0.254600523519861,11496
104526629,0.255837535801828,11468
104717568,0.757176569590786,697
104722504,0.588796295726408,4375
104727666,0.746565818509938,858
104793076,0.711941120523467,1486
104833127,0.723190163611578,1276
104941800,0.270354539455161,11135
104950346,0.286261583067733,10731
105063188,0.516493723425238,5674
105172820,0.637327553314844,3310
105189533,0.514947287625623,5702
105261240,0.781673298603346,381
105295743,0.68569516503741,2122
105421958,0.631849171304702,3435
105422057,0.532707854215912,5375
105431331,0.295767007534021,10510
105456098,0.332834582095375,9473
105654202,0.520084573817394,5604
105695617,0.438442133143937,7082
105722688,0.264995378908795,11252
105745614,0.255578466446322,11475
105793097,0.493554364672234,6064
105828696,0.490114490901698,6124
105905967,0.510833836995038,5768
105909150,0.681986206275231,2203
106130904,0.633889035341934,3391
106192406,0.629106644445961,3506
106247962,0.251205056745934,11568
106267604,0.624197835649424,3616
106442457,0.76303291418063,612
106506088,0.2765116903304,10975
106623174,0.275747001293054,10995
106627571,0.602032999523745,4094
106761315,0.448190139671839,6904
106859694,0.526629190134746,5477
106883652,0.275919193999592,10991
106979625,0.766676459949279,563
106990262,0.578346581469045,4563
107013182,0.52066525457148,5594
107101461,0.639852209773792,3260
107200075,0.618821745051556,3744
107333156,0.413728887185095,7609
107495445,0.407758555723398,7739
107595849,0.650015000902525,3046
107645870,0.572817696498974,4639
107652186,0.456653061045362,6743
108001538,0.653804670152674,2937
108238798,0.521009427334843,5588
108271987,0.506190291602072,5838
108294436,0.338112625297259,9335
108449609,0.457731966176673,6717
108640788,0.503762467847898,5873
108660300,0.411665881678071,7653
108661622,0.323353873858255,9743
108676621,0.693722229152864,1909
108709980,0.422778776204947,7420
108725704,0.441137300780537,7035
108871809,0.524696017670467,5514
108984029,0.553882261726061,4964
109038593,0.357670560540278,8865
109074813,0.445468345888958,6960
109128138,0.640257857058813,3248
109210457,0.320968215531585,9802
109249641,0.548734263254156,5071
109260008,0.6165443548242,3792
109270030,0.527307469356605,5469
109319866,0.460467427399901,6666
109333922,0.518888312452633,5623
109445366,0.741124434376955,945
109621414,0.374920051791229,8455
109773116,0.491035852818342,6110
109818882,0.750762335970466,793
109948733,0.414472781122538,7586
109998927,0.416874277210434,7542
110221105,0.270869267441374,11118
110258484,0.607868293063928,3972
110418359,0.840058361279892,14
110489508,0.704234852184758,1659
110493374,0.452171273124478,6834
110540943,0.784728238551524,356
110570792,0.33132294273087,9512
110664334,0.807423463363736,131
110679784,0.617787306957996,3764
110724562,0.565107763698345,4781
110741403,0.740221283985525,958
110853273,0.324873746391227,9711
110888383,0.492779187138635,6080
110913434,0.567115127690212,4748
110919594,0.443471031837292,7003
111032214,0.363707997068837,8720
111137681,0.551961442890947,5006
111290409,0.426493169356735,7348
111351758,0.578397646656788,4562
111406615,0.704842954635648,1640
111445806,0.463189445440423,6612
111467843,0.436833762825665,7124
111540821,0.42737571912554,7326
111711967,0.356767175708879,8886
111777778,0.339103273082048,9311
111825797,0.562517067484799,4826
112011557,0.434187434123585,7177
112043076,0.667389224794898,2586
112071733,0.376061558502817,8427
112082393,0.4790971092654,6300
112158211,0.343039856453361,9235
112209329,0.551632983588065,5013
112281269,0.337155186549892,9355
112341312,0.665969322523085,2626
112354892,0.480141681964978,6285
112379900,0.372972793699924,8493
112408192,0.829308316567451,34
112570996,0.291156520172695,10611
112692151,0.710301125255077,1521
112842427,0.269878353729271,11150
112848032,0.320585063140724,9818
113000198,0.714806836363962,1430
113000609,0.41768278143814,7526
113026643,0.616595054659459,3789
113103101,0.633600905709927,3398
113130459,0.629421042827762,3500
113157612,0.381473145996282,8316
113325067,0.745878731385512,865
113358607,0.806967295259546,136
113474476,0.432265495566582,7223
113948101,0.555671285042833,4935
114047791,0.442210056568142,7025
114050341,0.383390980598584,8268
114128165,0.477986276473406,6318
114227060,0.264465180980545,11258
114232073,0.552938563830003,4986
114446541,0.457515616883372,6721
114692322,0.645229956167394,3148
114712432,0.298752897878166,10423
114893280,0.448610091946625,6898
114926446,0.464983781805855,6571
115041332,0.672127752066402,2469
115117099,0.367651424517373,8626
115167222,0.680237475684653,2243
115233703,0.575808401111647,4597
115270484,0.362770116212238,8744
115442335,0.749054350852683,822
115448693,0.634131418357348,3383
115605728,0.716216582860301,1411
115973569,0.679240105150505,2281
116179953,0.763347065459835,608
116244814,0.614895440228113,3826
116447041,0.301996127854395,10329
116503287,0.257075905428764,11443
116512046,0.716671524089986,1403
116585608,0.800872700871255,199
116740096,0.335474176398584,9403
116942485,0.563087090192053,4819
116951599,0.660126403813147,2762
116987169,0.349794280884813,9053
117032098,0.637004192650548,3318
117134567,0.474151813658783,6396
117175855,0.386274634248158,8199
117325309,0.249418220247052,11602
117359902,0.795285123558876,249
117377228,0.655931309952461,2884
117393052,0.303778386296462,10283
117411616,0.517178929698864,5662
117669315,0.622612071295683,3664
117832148,0.620295711472001,3717
117890748,0.425712031112731,7366
117989441,0.734740945155099,1060
118008159,0.281271040613011,10856
118023121,0.713941471360798,1452
118108634,0.351319647556148,9021
118116448,0.41381081182515,7607
118142739,0.344242893134852,9204
118146340,0.616815729210078,3781
118183589,0.510340582957362,5778
118278315,0.707029611504528,1592
118280908,0.435019651382567,7161
118308473,0.715641424772417,1415
118398099,0.715033022668367,1425
118405230,0.326789294471618,9658
118492182,0.560653984702814,4853
118552915,0.780713430522394,394
118751360,0.663677192661445,2677
118908094,0.236289497906803,11800
118955417,0.39137654339034,8087
119030673,0.341088606955817,9274
119186067,0.294677837504465,10538
119204669,0.744087909660267,900
119210846,0.446653433202044,6933
119222687,0.6234030500228,3641
119245698,0.3016909250444,10342
119310235,0.759722565250609,655
119348260,0.344211712404453,9206
119401531,0.51328563307338,5735
119513418,0.360502068961618,8788
119549184,0.724031068704596,1261
119635833,0.52922865336182,5434
119694977,0.739549353243404,968
119703306,0.745040690836184,882
119719135,0.237530846616511,11778
119756774,0.221180110394252,11985
119815859,0.237522549021265,11779
119833259,0.711956854540381,1485
120019054,0.559587684970894,4869
120051580,0.626751976671144,3549
120109791,0.592537196242987,4293
120185123,0.275270633694357,11007
120191756,0.225208445345826,11944
120213233,0.313315136909795,10030
120347849,0.342627456000316,9250
120563469,0.590179474470497,4337
120674615,0.719669631480673,1338
120769492,0.330092990529515,9546
120778679,0.43553648404589,7150
120875932,0.243663933927281,11700
120975175,0.539024932445235,5264
121046806,0.368679035378338,8600
121056400,0.575739368971921,4599
121318224,0.619632054461637,3732
121327940,0.25180332288661,11557
121377197,0.611355084462785,3895
121379020,0.319267374623441,9861
121441304,0.477254699664069,6330
121557772,0.282167325703863,10831
121724118,0.370411603261735,8560
121734790,0.393002755506235,8049
121765383,0.611814963725473,3887
121810331,0.787135152578121,320
121854336,0.484298635117592,6230
121901562,0.283691555624855,10801
